timestamp,goal_id,capability_key,iteration_id,audit_key,audit_profile_version,scope_manifest_sha256,source_commit,result,reused_from_audit_key,finding_counts,evidence_path,notes
2026-08-09T04:14:18Z,UNAVAILABLE,consultation-profile-vertical,consultation-profile-vertical-resume-20260809,c24e5680167b7275ac3ab31e6aef40d7bb9c36b1b81ab326195014dbbafdf2cf,phase2-full-file-v1,4d99c31efe03aff1cb727ac4d951f2923ab5aa3e1b4ec99cb74e1c1feddadbc2,2187ab5bbc6ba1520f567a3e8f0cbe36bdb4488a,PASS,,P0=0;P1=3;P2=0,/private/tmp/xiaoro-phase2-integration-review-2187ab5/report.md,legacy evidence migration; findings carried into RED/GREEN repair chain df1d65d/e769649/f424197 and active WIP; real audit invocation=0 in current loop; key serialization=profile NUL then sorted path NUL blob_sha256 LF
2026-08-09T05:01:57Z,6a776ac708c10ded9ddb2a7c,consultation-profile-vertical,consultation-profile-vertical-round12-20260809,c24e5680167b7275ac3ab31e6aef40d7bb9c36b1b81ab326195014dbbafdf2,phase2-full-file-v1,4d99c31efe03aff1cb727ac4d951f2923ab5aa3e1b4ec99cb74e1c1feddadbc2,6ccf1a9beb34b3d4b439777806127d214fea1339,REUSED_PASS,c24e5680167b7275ac3ab31e6aef40d7bb9c36b1b81ab326195014dbbafdf2cf,P0=0;P1=3;P2=0,/private/tmp/xiaoro-phase2-integration-review-2187ab5/report.md,normalized 64-character audit key reused from legacy migrated PASS; findings cleared by RED/GREEN chain and vertical gates; real audit invocation=0
2026-08-09T06:43:00Z,6a776ac708c10ded9ddb2a7c,image-vertical,image-vertical-round13-20260809,de99b6096b1a476a5d515ff9ac6a4d0d0b9a1a6ed4635c5ef4cccdb41804afc4,phase2-full-file-v1,50661797490edba692d95e3886b7ecacac3c0eeb3b36d8094b8569f95eb2620e,e874e7e9e64405565bc11ec9aaaac2a72315fdbf,FINDINGS,,P0=0;P1=5;P2=0,/private/tmp/xiaoro-phase2-r13-image-audit/report.md,opening full-file audit; real audit invocation=1
2026-08-09T07:28:44Z,6a776ac708c10ded9ddb2a7c,image-vertical,image-vertical-round13-20260809,de99b6096b1a476a5d515ff9ac6a4d0d0b9a1a6ed4635c5ef4cccdb41804afc4,phase2-full-file-v1,50661797490edba692d95e3886b7ecacac3c0eeb3b36d8094b8569f95eb2620e,96cc7abe94cb6eff53674602f52086acbe1050c8,FINDINGS_CLEARED,,P0=0;P1=0;P2=0,/private/tmp/xiaoro-phase2-r13-final-browser-evidence/verification-summary.json,RED 15c6168; fix 7939494; lazy fix 96cc7ab; GREEN gates cleared all five findings; no second full-file audit; real audit invocation total remains 1; post-fix source and key context are provenance only and do not claim audit PASS
2026-08-09T08:03:44Z,6a776ac708c10ded9ddb2a7c,feedback-vertical,feedback-vertical-round14-20260809,b3a98491c1b82d429d919bbeb5fe700be7addd310e64b096c2818bb183849292,phase2-full-file-v1,fced972e8598e7d2575b6c6ae95e139f29e26a6b937f920ed940b8cc65456e51,613bd234a37af507dcaf0789aadce84848d5c5a6,FINDINGS,,P0=0;P1=4;P2=0,/private/tmp/xiaoro-phase2-r14-feedback-audit-report/report.md,opening full-file audit; real audit invocation=1
2026-08-09T09:12:04Z,6a776ac708c10ded9ddb2a7c,feedback-vertical,feedback-vertical-round14-20260809,b3a98491c1b82d429d919bbeb5fe700be7addd310e64b096c2818bb183849292,phase2-full-file-v1,fced972e8598e7d2575b6c6ae95e139f29e26a6b937f920ed940b8cc65456e51,c5b5ccdf15b381d30b39e211f134cd38cb95477b,FINDINGS_CLEARED,,P0=0;P1=0;P2=0,/private/tmp/xiaoro-r14-final3-feedback.stdout,RED 0a079c4; fix b84fdf4; alignment 1143b6d; multi-target RED 52f5e69; fix f09e267; gate c5b5ccd; no second full-file audit; real audit invocation total remains 1; post-fix manifest b1ff674b90bd6eb3e8bbbe0bb157dcd94f40d183a331e768fdeb17c4c9c78af1 is provenance only; no second audit
2026-08-09T10:08:01Z,6a776ac708c10ded9ddb2a7c,FINAL-PHASE2-AUDIT,final-phase2-audit-20260809,57b11af83a368fee4a82b44367894ac4823cdae1d445fba22dc2a222340804ea,phase2-full-file-v1,30d339909e69d5b0511b67e891a6087e3c86c0d61127d9e5328baab226bf4579,e76fa654c2e0972187671686fe74e1331069ab8c,FINDINGS,,P0=0;P1=5;P2=0,/private/tmp/xiaoro-phase2-final-audit/report.md,unique final full-file audit across 74 production files and 28590 full-file lines; real audit invocation=1
2026-08-09T10:08:01Z,6a776ac708c10ded9ddb2a7c,FINAL-PHASE2-AUDIT,final-phase2-audit-20260809,57b11af83a368fee4a82b44367894ac4823cdae1d445fba22dc2a222340804ea,phase2-full-file-v1,30d339909e69d5b0511b67e891a6087e3c86c0d61127d9e5328baab226bf4579,9e464f3f70c4059ca9085d162c4322d68c9eac12,FINDINGS_CLEARED,,P0=0;P1=0;P2=0,/private/tmp/xiaoro-phase2-postfix-browser-verticals-evidence/verification_summary.json,RED fd8993d and 4c798c5; fix 9e464f3; Guide 1890; runtime 143; all browser gates passed; no second full-file audit; real audit invocation total remains 1; post-fix manifest 4ad2b84be57f5854356d696702d4df9e1f73a01b0c4702ad2b6cc8b8f630dcd5 is provenance only
2026-08-09T11:54:17Z,6a776ac708c10ded9ddb2a7c,review-source-positive-path,review-source-positive-path-20260809,6de244b3a1ced9b7d5fe033bd3cc552f9c362ce21338a8b5603f5ec6e53f2c4b,phase2-full-file-v1,b6d771fe58b35be951b0ea4edb3bfabc13a60203cae333311d1ecd623bf43416,cb5fa3361aa6913ba46c15ef3edeb2f74112f184,FINDINGS,,P0=0;P1=5;P2=0,/private/tmp/xiaoro-phase2-review-source-audit/report.md,opening full-file audit; real audit invocation=1; opening result was FINDINGS and not PASS
2026-08-09T14:03:29Z,6a776ac708c10ded9ddb2a7c,review-source-positive-path,review-source-positive-path-20260809,6de244b3a1ced9b7d5fe033bd3cc552f9c362ce21338a8b5603f5ec6e53f2c4b,phase2-full-file-v1,b6d771fe58b35be951b0ea4edb3bfabc13a60203cae333311d1ecd623bf43416,8b5257d6e789ad64b265b61db2f2b81ad65cb324,FINDINGS_CLEARED,,P0=0;P1=0;P2=0,/private/tmp/xiaoro-final-gate-8b5257d-20260809-logs/final-evidence.log,RED 579f6935d20c3e892b30bb9be08b8ef865334aff with integration patch-equivalent 400e062; GREEN 018494473cb7f308a90ca7c9579e2491d384658e with integration patch-equivalent 1ef362e; final gates source evidence 58 passed focused 68 passed Guide 1917 passed with 1 warning runtime 144 passed static PASS and browser PASS; review browser evidence /private/tmp/xiaoro-browser-evidence-8b5257d-20260809T135623Z.Tj1wfH/review-browser-evidence.json; no second full-file audit; real audit invocation total remains 1
2026-08-09T15:22:30Z,6a776ac708c10ded9ddb2a7c,review-source-positive-path,review-source-positive-path-task11-20260809,6de244b3a1ced9b7d5fe033bd3cc552f9c362ce21338a8b5603f5ec6e53f2c4b,phase2-full-file-v1,b6d771fe58b35be951b0ea4edb3bfabc13a60203cae333311d1ecd623bf43416,ef66868e60c1c786b75f201b4a24b0a382e16102,FINDINGS_CLEARED,,P0=0;P1=0;P2=0,/private/tmp/xiaoro-task11-browser-smoke.png,post-closure Task11 stable-ID finding cleared by RED/GREEN and normal gates; no second audit; real invocation total remains 1; current nine-file production manifest acbd0bae3baaa1b2c8bad30fcaacb71ba4e8d63624c7260cf340ebf840efccb8
