source_worktree,source_head,source_status_sha256,artifact_type,source_path,source_sha256,target_path,target_sha256,disposition,adjustment_or_exclusion
/Users/bytedance/Desktop/xiaoro-shopping-master,8658e191c05e208b2939aa37fb1ee170b2784e4f,be35dbe626b26a65c8cff09d594aba2e4540f9f8f9e55a3d5fe0a1783c9f4d8c,module,app/services/v2/shadow_evidence/__init__.py,ce2fda7e9fd6ee31c48a93f03a7bcaae272e0d968dc3e8cdcfcb346da8c49263,tools/evidence_audit/__init__.py,ce2fda7e9fd6ee31c48a93f03a7bcaae272e0d968dc3e8cdcfcb346da8c49263,migrated,copy_exact
/Users/bytedance/Desktop/xiaoro-shopping-master,8658e191c05e208b2939aa37fb1ee170b2784e4f,be35dbe626b26a65c8cff09d594aba2e4540f9f8f9e55a3d5fe0a1783c9f4d8c,module,app/services/v2/shadow_evidence/adapters.py,1e29d752c00918b6afec828f4b5dc2f7d8186b6afe346bfab277ea836aae19ed,tools/evidence_audit/adapters.py,1e29d752c00918b6afec828f4b5dc2f7d8186b6afe346bfab277ea836aae19ed,migrated,copy_exact
/Users/bytedance/Desktop/xiaoro-shopping-master,8658e191c05e208b2939aa37fb1ee170b2784e4f,be35dbe626b26a65c8cff09d594aba2e4540f9f8f9e55a3d5fe0a1783c9f4d8c,module,app/services/v2/shadow_evidence/artifacts.py,7f4e52b4cc1d27f673319155b633944eedc79339ab1646fa68fe66ce391227a1,tools/evidence_audit/artifacts.py,7f4e52b4cc1d27f673319155b633944eedc79339ab1646fa68fe66ce391227a1,migrated,copy_exact
/Users/bytedance/Desktop/xiaoro-shopping-master,8658e191c05e208b2939aa37fb1ee170b2784e4f,be35dbe626b26a65c8cff09d594aba2e4540f9f8f9e55a3d5fe0a1783c9f4d8c,module,app/services/v2/shadow_evidence/canonical.py,111c7187884ec9b028a25eb9bf42b770daa254698d4d33fd64c4b253c5e45850,tools/evidence_audit/canonical.py,111c7187884ec9b028a25eb9bf42b770daa254698d4d33fd64c4b253c5e45850,migrated,copy_exact
/Users/bytedance/Desktop/xiaoro-shopping-master,8658e191c05e208b2939aa37fb1ee170b2784e4f,be35dbe626b26a65c8cff09d594aba2e4540f9f8f9e55a3d5fe0a1783c9f4d8c,module,app/services/v2/shadow_evidence/classifier.py,0a70404db7f41a2a2ed65e8462fc0c80eea70ea4f6a3fa4b40a093c9e6bfcb3f,tools/evidence_audit/classifier.py,0a70404db7f41a2a2ed65e8462fc0c80eea70ea4f6a3fa4b40a093c9e6bfcb3f,migrated,copy_exact
/Users/bytedance/Desktop/xiaoro-shopping-master,8658e191c05e208b2939aa37fb1ee170b2784e4f,be35dbe626b26a65c8cff09d594aba2e4540f9f8f9e55a3d5fe0a1783c9f4d8c,module,app/services/v2/shadow_evidence/contracts.py,7309f460eb5cc98cd2e45d01a05ddee4eb0300841ff064b454bd2abe6fcf71b3,tools/evidence_audit/contracts.py,7309f460eb5cc98cd2e45d01a05ddee4eb0300841ff064b454bd2abe6fcf71b3,migrated,copy_exact
/Users/bytedance/Desktop/xiaoro-shopping-master,8658e191c05e208b2939aa37fb1ee170b2784e4f,be35dbe626b26a65c8cff09d594aba2e4540f9f8f9e55a3d5fe0a1783c9f4d8c,module,app/services/v2/shadow_evidence/ledger.py,9ce711eed78fe8fef52633735c7556976efb83586954d2ddbb2ac52ff78538a0,tools/evidence_audit/ledger.py,9ce711eed78fe8fef52633735c7556976efb83586954d2ddbb2ac52ff78538a0,migrated,copy_exact
/Users/bytedance/Desktop/xiaoro-shopping-master,8658e191c05e208b2939aa37fb1ee170b2784e4f,be35dbe626b26a65c8cff09d594aba2e4540f9f8f9e55a3d5fe0a1783c9f4d8c,module,app/services/v2/shadow_evidence/review.py,88a6806c4105a69268385a50afe6cd942f9fb163cdf8a0ffa5aeca88855d9237,tools/evidence_audit/review.py,88a6806c4105a69268385a50afe6cd942f9fb163cdf8a0ffa5aeca88855d9237,migrated,copy_exact
/Users/bytedance/Desktop/xiaoro-shopping-master,8658e191c05e208b2939aa37fb1ee170b2784e4f,be35dbe626b26a65c8cff09d594aba2e4540f9f8f9e55a3d5fe0a1783c9f4d8c,test,tests/test_v2_shadow_canonical_snapshot.py,53f7ba6392150e809641a51559a90915ddd999bc0471e738dac003c0dd88ec2f,tests/tools/evidence_audit/test_canonical.py,e911859aa13023d592f8a9c8257191406ea0ab412f449ad9770e48dcf0fae6ef,migrated,package_import_and_fixture_root_only
/Users/bytedance/Desktop/xiaoro-shopping-master,8658e191c05e208b2939aa37fb1ee170b2784e4f,be35dbe626b26a65c8cff09d594aba2e4540f9f8f9e55a3d5fe0a1783c9f4d8c,test,tests/test_v2_shadow_evidence_adapters.py,dd2959712bdf94ed031fb45209bd7ed837ab83ae640a6d06a4118cb3bf02d462,tests/tools/evidence_audit/test_adapters.py,8a4c0ab3bfe98822f4ea67efad384b8caa28bf32086d980a4d66794676ebdf4f,migrated,package_import_and_fixture_root_only
/Users/bytedance/Desktop/xiaoro-shopping-master,8658e191c05e208b2939aa37fb1ee170b2784e4f,be35dbe626b26a65c8cff09d594aba2e4540f9f8f9e55a3d5fe0a1783c9f4d8c,test,tests/test_v2_shadow_evidence_artifacts.py,deb7d8fe5e076746f04de1a84647c45271f5f3da09b9f3ab3000f3c6064caf02,tests/tools/evidence_audit/test_artifacts.py,1495c5cfa807bd76afa30936f6552d32646330bcdf71f1786245bfe3b88d6a93,migrated,package_import_only
